gene,143BN_BB_1,143BN_BB_1.father,143BN_BB_1.mother,change,167BZ_SP_1,167BZ_SP_1.father,167BZ_SP_1.mother,change,179CI_GG_1,179CI_GG_1.father,179CI_GG_1.mother,change,297EW_BP_1,297EW_BP_1.father,297EW_BP_1.mother,change,59R_AM_1,59R_AM_1.father,59R_AM_1.mother,change
GXYLT1,1,2,2,DECREASE,1,2,0,SAME,1,2,1,SAME,1,1,2,SAME,1,2,1,SAME
HAUS4,1,0,0,NEw,0,0,0,NA,1,0,1,SAME,1,1,1,SAME,0,0,0,NA
HLA-A,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA
HLA-DQA1,2,0,2,SAME,0,0,0,NA,1,2,2,DECREASE,0,0,0,NA,2,2,2,SAME
HLA-DRB1,3,1,2,INCREASE,0,0,0,NA,1,2,0,SAME,0,0,0,NA,2,2,4,SAME
HLA-DRB5,2,1,1,INCREASE,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,1,2,SAME
HNRNPCL1,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,1,SAME
HNRNPM,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
HRCT1,1,0,1,SAME,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
HRNR,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,1,SAME
HSF1,1,0,0,NEw,1,0,0,NEw,1,0,0,NEw,0,0,0,NA,0,0,0,NA
ICOSLG,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,1,1,0,SAME
IGHV1-3,1,1,0,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
IGHV5-51,1,1,0,SAME,1,0,0,NEw,1,0,0,NEw,0,0,0,NA,1,1,1,SAME
INO80E,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
INPP5E,0,0,0,NA,0,0,0,NA,1,0,1,SAME,0,0,0,NA,0,0,0,NA
INTS1,1,1,1,SAME,2,1,1,INCREASE,1,1,2,SAME,1,1,1,SAME,1,1,1,SAME
IQGAP1,0,0,0,NA,0,0,0,NA,0,0,0,NA,2,0,0,NEw,0,0,0,NA
IQSEC2,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
IRF5,1,1,0,SAME,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
JMY,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA,0,0,0,NA
KCNN3,1,1,0,SAME,1,1,1,SAME,0,0,0,NA,1,0,0,NEw,0,0,0,NA
KCTD1,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA
KDM4B,1,1,1,SAME,1,1,0,SAME,0,0,0,NA,1,0,1,SAME,0,0,0,NA
KDM6B,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,1,SAME
KIAA0430,1,2,1,SAME,2,2,2,SAME,2,1,2,SAME,2,2,2,SAME,2,2,2,SAME
KIAA1211,1,1,0,SAME,0,0,0,NA,0,0,0,NA,2,2,0,SAME,0,0,0,NA
KMT2E,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA,0,0,0,NA
KRT4,1,2,1,SAME,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME,1,1,2,SAME
KRT77,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
KRTAP1-3,0,0,0,NA,1,0,2,SAME,0,0,0,NA,1,2,0,SAME,2,0,2,SAME
KRTAP10-6,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
KRTAP4-5,1,0,0,NEw,0,0,0,NA,0,0,0,NA,1,0,0,NEw,1,0,1,SAME
KRTAP4-7,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA,1,0,0,NEw
KRTAP5-10,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
KRTAP5-5,0,0,0,NA,1,0,0,NEw,2,2,1,SAME,1,2,1,SAME,0,0,0,NA
KRTAP5-7,0,0,0,NA,1,0,1,SAME,1,2,2,DECREASE,1,2,1,SAME,2,2,2,SAME
KRTAP5-8,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
KRTAP9-1,2,2,1,SAME,2,2,2,SAME,1,1,2,SAME,2,2,2,SAME,2,2,2,SAME
KRTAP9-9,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA
LAMB4,1,1,0,SAME,0,0,0,NA,0,0,0,NA,1,1,1,SAME,1,1,1,SAME
LCE4A,0,0,0,NA,0,0,0,NA,0,0,0,NA,2,0,0,NEw,0,0,0,NA
LINC00955,0,0,0,NA,0,0,0,NA,1,0,1,SAME,0,0,0,NA,0,0,0,NA
LNP1,1,1,1,SAME,1,1,1,SAME,0,0,0,NA,1,1,1,SAME,1,0,1,SAME
LONP1,0,0,0,NA,0,0,0,NA,1,1,0,SAME,1,0,0,NEw,0,0,0,NA
LOR,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
LPA,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
LZTR1,1,0,1,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
MAP2K3,1,1,1,SAME,0,0,0,NA,1,1,1,SAME,1,1,1,SAME,1,1,1,SAME
MATR3,0,0,0,NA,1,0,1,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA
MET,0,0,0,NA,2,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
METTL22,1,1,1,SAME,1,1,1,SAME,1,1,1,SAME,1,1,1,SAME,1,1,1,SAME
MKL1,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
MLXIPL,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
MMP23B,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
MROH8,2,1,2,SAME,1,2,2,DECREASE,2,2,2,SAME,2,2,2,SAME,2,2,2,SAME
MRPL28,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,2,SAME,0,0,0,NA
MSLNL,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
MTCH2,4,4,4,SAME,3,3,3,SAME,3,3,4,SAME,3,4,4,DECREASE,4,4,4,SAME
MUC12,0,0,0,NA,0,0,0,NA,2,2,0,SAME,0,0,0,NA,0,0,0,NA
MUC15,0,0,0,NA,2,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
MUC16,10,13,8,SAME,6,9,14,DECREASE,11,10,13,SAME,11,11,10,SAME,6,10,10,DECREASE
MUC17,0,0,0,NA,1,1,0,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA
MUC2,4,8,4,SAME,6,4,5,INCREASE,5,3,4,INCREASE,7,6,5,INCREASE,6,9,4,SAME
MUC22,0,0,0,NA,0,0,0,NA,3,0,2,INCREASE,2,1,2,SAME,0,0,0,NA
MUC3A,36,33,30,INCREASE,31,36,34,DECREASE,34,33,37,SAME,30,34,34,DECREASE,34,36,38,DECREASE
MUC4,5,2,1,INCREASE,3,2,3,SAME,0,0,0,NA,5,2,3,INCREASE,6,3,1,INCREASE
MUC5B,3,5,3,SAME,5,6,6,DECREASE,6,4,4,INCREASE,3,4,6,DECREASE,6,6,4,SAME
MUC6,17,20,14,SAME,16,20,21,DECREASE,17,22,19,DECREASE,16,17,21,DECREASE,17,24,17,SAME
MYL5,1,0,0,NEw,0,0,0,NA,1,0,1,SAME,0,0,0,NA,0,0,0,NA
MYO15B,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
MYPOP,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA,0,0,0,NA
MYRF,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
MYT1L,0,0,0,NA,2,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
NBPF1,1,0,0,NEw,0,0,0,NA,1,1,1,SAME,3,1,3,SAME,1,1,2,SAME
NCDN,2,0,0,NEw,0,0,0,NA,0,0,0,NA,1,2,0,SAME,0,0,0,NA
NCOR2,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw
NDUFA11,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
NTRK3,0,0,0,NA,0,0,0,NA,2,0,0,NEw,0,0,0,NA,0,0,0,NA
NUDT18,2,2,2,SAME,0,0,0,NA,0,0,0,NA,3,2,2,INCREASE,0,0,0,NA
NXNL1,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
OLIG1,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA
OR12D1P,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
OR4C5,3,2,3,SAME,3,3,3,SAME,2,2,2,SAME,3,3,3,SAME,2,3,2,SAME
OR52N1,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,1,SAME,1,1,1,SAME
OR5P2,0,0,0,NA,0,0,0,NA,2,2,0,SAME,0,0,0,NA,0,0,0,NA
OR8U1,10,6,9,INCREASE,6,10,6,SAME,9,10,7,SAME,10,10,9,SAME,6,5,10,SAME
OVGP1,1,0,1,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,1,1,SAME
PABPC3,0,0,0,NA,2,0,1,INCREASE,0,0,0,NA,0,0,0,NA,0,0,0,NA
PCMTD2,1,1,1,SAME,1,1,0,SAME,0,0,0,NA,1,1,1,SAME,1,0,1,SAME
PCSK5,15,10,12,INCREASE,8,8,7,SAME,11,13,5,SAME,7,11,9,DECREASE,7,10,8,DECREASE
PDE4DIP,1,3,2,DECREASE,2,3,1,SAME,0,0,0,NA,3,3,2,SAME,1,3,2,DECREASE
PEX5,0,0,0,NA,0,0,0,NA,1,1,1,SAME,0,0,0,NA,0,0,0,NA
PHLDB3,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,1,1,1,SAME
PITRM1,1,1,0,SAME,0,0,0,NA,1,1,1,SAME,1,1,1,SAME,1,1,1,SAME
PLA2G4E,1,1,0,SAME,1,1,0,SAME,1,0,0,NEw,0,0,0,NA,0,0,0,NA
PLEKHG6,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
PLIN4,2,3,1,SAME,2,1,0,INCREASE,1,2,2,DECREASE,1,3,3,DECREASE,2,2,2,SAME
POTEG,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,1,1,SAME,0,0,0,NA
PPP1R37,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA,0,0,0,NA
PRDM9,0,0,0,NA,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA
PRED58,1,1,1,SAME,0,0,0,NA,1,1,1,SAME,1,1,1,SAME,1,1,1,SAME
PRIMA1,1,0,1,SAME,0,0,0,NA,1,0,0,NEw,1,1,1,SAME,0,0,0,NA
PRKRA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,2,2,0,SAME
PRMT8,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA,0,0,0,NA
PRPF3,1,1,0,SAME,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
PRUNE2,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw
PTPN21,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
PTPN23,0,0,0,NA,0,0,0,NA,0,0,0,NA,1,0,0,NEw,0,0,0,NA
PTPRN2,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
RAB36,1,1,0,SAME,1,1,0,SAME,0,0,0,NA,0,0,0,NA,1,1,1,SAME
RBFOX3,1,0,0,NEw,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA
RBM6,1,0,0,NEw,0,0,0,NA,0,0,0,NA,1,1,0,SAME,0,0,0,NA
RBMXL3,0,0,0,NA,1,0,2,SAME,0,0,0,NA,2,2,2,SAME,2,1,2,SAME
RNF212,0,0,0,NA,1,1,0,SAME,2,2,2,SAME,1,1,0,SAME,2,1,2,SAME
